"ARABIC,COMPUTER STUDIES,FRENCH. CODE: SS1006 | TRACK: LANGUAGES & LITERATURE",,,,,
SABATIA SEC,BARINGO,MIXED,BOARDING,C3,REGULAR
SACRED HEART MWAKIWIWI GIRLS SEC,TAITA TAVETA,MIXED,DAY,C4,REGULAR
G.S.U SECONDARY SCHOOL [NAIROBI-KASARANI],NAIROBI,MIXED,DAY,C4,REGULAR
BURGEI SEC,BOMET,MIXED,DAY,C4,REGULAR
KINONDO SEC,KWALE,MIXED,DAY,C4,REGULAR
Cheukta Secondary,UASIN GISHU,MIXED,DAY,C4,REGULAR
ST ANTHONY BOYS,TRANS NZOIA,BOYS,BOARDING,C1,REGULAR
GOIBEI GIRLS,VIHIGA,GIRLS,BOARDING,C2,REGULAR
ST JOHNS KWA MULUNGU,KITUI,MIXED,BOARDING,C3,REGULAR
KATHYAKA SEC,MAKUENI,MIXED,BOARDING,C3,REGULAR
SAOSET SEC,BOMET,MIXED,DAY,C4,REGULAR
RUMURUTI DAY SEC.,LAIKIPIA,MIXED,DAY,C4,REGULAR
MANYALA SEC,KAKAMEGA,MIXED,BOARDING,C3,REGULAR
LORROK MIXED DAY,SAMBURU,MIXED,DAY,C4,REGULAR
SERAWONGO MIXED DAY SECONDARY SCHOOL,SIAYA,MIXED,DAY,C4,REGULAR
RAPEDHI MIXED,HOMA BAY,MIXED,DAY,C4,REGULAR
BONGU GIRLS SEC,HOMA BAY,GIRLS,DAY,C4,REGULAR
KIBURU SEC,KIRINYAGA,BOYS,BOARDING,C2,REGULAR
MOTO SEC,NAKURU,MIXED,DAY,C4,REGULAR
CHEPTALAL,BOMET,GIRLS,BOARDING,C3,REGULAR
KAYOLE SOUTH SECONDARY SCHOOL,NAIROBI,MIXED,DAY,C4,REGULAR
ST MARY'S  MUNDIKA  HIGH SCHOOL,BUSIA,BOYS,BOARDING,C2,REGULAR
NDURUMO DAY SECONDARY,LAIKIPIA,MIXED,DAY,C4,REGULAR
NAMELOK SEC,KAJIADO,MIXED,DAY,C4,REGULAR
SAGAMIAN,NAROK,MIXED,DAY,C4,REGULAR
MANGA GIRLS HIGH,NYAMIRA,GIRLS,BOARDING,C3,REGULAR
DUNDORI SEC,NAKURU,MIXED,DAY,C4,REGULAR
GOD MARERA MIXED SEC,HOMA BAY,MIXED,DAY,C4,REGULAR
MAROO ESINDE SEC,KISII,MIXED,DAY,C4,REGULAR
Olteyiani Mixed Day,KAJIADO,MIXED,DAY,C4,REGULAR
MYANGA SEC,BUNGOMA,MIXED,DAY,C4,REGULAR
ST CELESTINO NYANGUBO GIRLS SEC,MIGORI,GIRLS,BOARDING,C3,REGULAR
ACK BISHOP KALU,KILIFI,MIXED,DAY,C4,REGULAR
MWAKIRUNGE SEC,MOMBASA,MIXED,DAY,C4,REGULAR
THUA SEC,KITUI,MIXED,DAY,C4,REGULAR
KIAMWANGI  MIXED,KIAMBU,MIXED,DAY,C4,REGULAR
KAPNGOROT SEC,NAKURU,MIXED,DAY,C4,REGULAR
MANANJA SEC,MACHAKOS,MIXED,DAY,C4,REGULAR
KAPSANGAR MIXED DAY SEC,WEST POKOT,MIXED,DAY,C4,REGULAR
ST PETERS NYAMOTAMBE,MIGORI,MIXED,DAY,C4,REGULAR
NKONDI GIRLS,THARAKA NITHI,GIRLS,BOARDING,C3,REGULAR
NYIMBEI MIXED DAY/BOARDING SEC. SCHOOL,BARINGO,MIXED,DAY,C4,REGULAR
KABOKYEK ADVENTIST SECONDARY,KERICHO,MIXED,BOARDING,PR,REGULAR
KAPLELMET SECONDARY,NANDI,MIXED,DAY,C4,REGULAR
OLKIRIANE MIXED SECONDARY,NAROK,MIXED,BOARDING,C3,REGULAR
AIC MANYATTA SEC,MACHAKOS,BOYS,DAY,C4,REGULAR
NYAGATUGU BOYS SEC,MURANG'A,BOYS,BOARDING,C2,REGULAR
KIRISIA SECONDARY SCHOOL,SAMBURU,BOYS,BOARDING,C3,REGULAR
KITULU SEC,MACHAKOS,MIXED,DAY,C4,REGULAR
KWARE SECONDARY SCHOOL,NAIROBI,MIXED,DAY,C4,REGULAR
ACHOR  VALLEY  GIRLS  CHRISTIAN  SCHOOL,KIAMBU,GIRLS,HYBRID,PR,REGULAR
H.G.M KINOO SECONDARY SCHOOL,KIAMBU,MIXED,DAY,C4,REGULAR
KAVAINI SEC,KITUI,MIXED,HYBRID,C4,REGULAR
AMASON JEFWA KINGI,KILIFI,MIXED,DAY,C4,REGULAR
KAMALEL MIXED DAY SECONDARY,BARINGO,MIXED,DAY,C4,REGULAR
ALINJUGUR SEC,GARISSA,MIXED,BOARDING,C3,REGULAR
ST. THOMAS SEC. SCH. KAIBOI,NANDI,MIXED,DAY,C4,REGULAR
NANINGOI GIRLS SECONDARY SCHOOL,KAJIADO,MIXED,DAY,C4,REGULAR
NGERE HIGH,KISUMU,BOYS,BOARDING,C2,REGULAR
DARAJA MBILI MIXED SECONDARY SCHOOL,KISII,MIXED,DAY,C4,REGULAR
ST MONICA MUNYAKA,NYERI,GIRLS,BOARDING,C3,REGULAR
MOI NYABOHANSE GIRLS,MIGORI,GIRLS,BOARDING,C1,REGULAR
GITUGI MIXED,MURANG'A,MIXED,DAY,C4,REGULAR
SIDIKA SEC,MIGORI,MIXED,DAY,C4,REGULAR
CHEBUYUSI SEC,KAKAMEGA,BOYS,BOARDING,C2,REGULAR
BATHI SEC,KIAMBU,MIXED,DAY,C4,REGULAR
NGUMO BOYS SECONDARY,LAIKIPIA,BOYS,BOARDING,C2,REGULAR
NGIITO,NAROK,MIXED,BOARDING,C3,REGULAR
NAMBOBOTO BOYS  SECONDARY,BUSIA,BOYS,HYBRID,C3,REGULAR
BOTHAI SECONDARY SCHOOL,GARISSA,MIXED,DAY,C4,REGULAR
ACHEGO GIRLS,KISUMU,GIRLS,BOARDING,C2,REGULAR
SOSIANI SECONDARY SCHOOL,UASIN GISHU,MIXED,DAY,C4,REGULAR
Banisa Girls Secondary,MANDERA,GIRLS,DAY,C4,REGULAR
NAKURU HIGH SCHOOL,NAKURU,BOYS,BOARDING,C1,INTERGRATED
TENGECHA GIRLS,KERICHO,GIRLS,BOARDING,C1,REGULAR
BARTOLIMO,BARINGO,BOYS,BOARDING,C2,REGULAR
RUBATE ACHIEVERS BOYS HIGH SCHOOL,THARAKA NITHI,BOYS,BOARDING,PR,REGULAR
KAANYAGA DAY,THARAKA NITHI,MIXED,HYBRID,C4,REGULAR
ST ALPHONSUS MUTEI SEC,ELGEYO MARAKWET,GIRLS,BOARDING,C3,REGULAR
ST. JAMES NAMAMBA GIRLS,KAKAMEGA,GIRLS,DAY,C4,REGULAR
MASINDONI SEC,BOMET,MIXED,DAY,C4,REGULAR
NEMBU GIRLS,NAIROBI,GIRLS,BOARDING,C2,REGULAR
NTANA MIXED,NYAMIRA,MIXED,DAY,C4,REGULAR
NYACHOGOCHOGO,KISII,MIXED,DAY,C4,REGULAR
ST JUDE NAPARA GIRLS SEC,BUNGOMA,GIRLS,BOARDING,C3,REGULAR
NANYUKI BOYS,LAIKIPIA,BOYS,BOARDING,C1,REGULAR
THIGIO BOYS SEC,KIAMBU,BOYS,BOARDING,C3,REGULAR
KAMUTUA MIXED,KIAMBU,MIXED,DAY,C4,REGULAR
MUGAA,NAKURU,MIXED,DAY,C4,REGULAR
ST CATHERINES GIRLS SEC,WEST POKOT,GIRLS,BOARDING,C3,REGULAR
MASINDE MULIRO MEMORIAL,TRANS NZOIA,MIXED,DAY,C4,REGULAR
ST URSULA GIRLS,KITUI,GIRLS,BOARDING,C2,REGULAR
