Code: AS2009 | Track: SPORTS,,,,,
KAMBAA TECHNICAL SECONDARY SCHOOL,NYANDARUA,MIXED,BOARDING,C3,REGULAR
NYAMBARIA HIGH SCHOOL,NYAMIRA,BOYS,BOARDING,C1,REGULAR
WITU SEC,LAMU,MIXED,BOARDING,C3,REGULAR
GOBEI,SIAYA,MIXED,DAY,C4,REGULAR
NZOIA SUGAR GIRLS SEC,BUNGOMA,GIRLS,BOARDING,C3,REGULAR
GITHUNGUCHU SEC,NYANDARUA,MIXED,BOARDING,C3,REGULAR
SACHANGWAN NDOINET SEC,NAKURU,MIXED,DAY,C4,REGULAR
NDULA SEC SCH,KIAMBU,MIXED,DAY,C4,REGULAR
GONGONI,KILIFI,MIXED,DAY,C4,REGULAR
KANYIMACH MIXED SECONDARY,MIGORI,MIXED,DAY,C4,REGULAR
NYABINE DEB SECONDARY,KISII,MIXED,DAY,C4,REGULAR
KAGAANI MIXED DAY SECONDARY,THARAKA NITHI,MIXED,DAY,C4,REGULAR
NGIITO,NAROK,MIXED,BOARDING,C3,REGULAR
MULU GIRLS SECONDARY SCHOOL,MACHAKOS,MIXED,DAY,C4,REGULAR
ISIOLO BARRACKS SEC,ISIOLO,MIXED,DAY,C4,REGULAR
SAKURI GIRLS,MIGORI,GIRLS,DAY,C4,REGULAR
KITAMBO SEC,SIAYA,MIXED,DAY,C4,REGULAR
MWALIMU MUTUA MIYUKU SECONDARY,KITUI,MIXED,DAY,C4,REGULAR
KAHETI BOYS,NYERI,BOYS,BOARDING,C2,REGULAR
NYAIGWA GIRLS SECONDARY SCHOOL,NYAMIRA,GIRLS,DAY,C4,REGULAR
ST. SOPHIA PKOMO GIRLS,WEST POKOT,GIRLS,BOARDING,C3,REGULAR
GALANA,KILIFI,BOYS,BOARDING,C3,REGULAR
NGIINI SEC,MACHAKOS,MIXED,DAY,C4,REGULAR
SAYE MIXED SECONDARY SCHOOL,HOMA BAY,MIXED,DAY,C4,REGULAR
IKUU BOYS,THARAKA NITHI,BOYS,BOARDING,C1,REGULAR
ST ALEX AYUCHA,KISUMU,MIXED,DAY,C4,REGULAR
LANET DAY MIXED HIGH SEC,NAKURU,MIXED,DAY,C4,REGULAR
ST TERESAS SECSINYERI,TRANS NZOIA,MIXED,BOARDING,C3,REGULAR
ITHEKAHUNO SEC,NYERI,MIXED,DAY,C4,REGULAR
KHASOKO SEC,BUNGOMA,BOYS,BOARDING,C2,REGULAR
Sorok Day Secondary,BARINGO,MIXED,DAY,C4,REGULAR
RUBATE ACHIEVERS BOYS HIGH SCHOOL,THARAKA NITHI,BOYS,BOARDING,PR,REGULAR
MUTUKANIO SEC,NAKURU,MIXED,DAY,C4,REGULAR
FUMBINI SEC SCH,KILIFI,MIXED,DAY,C4,REGULAR
TYAA KAMUTHALE,KITUI,MIXED,BOARDING,C3,REGULAR
OLOIRIEN,KAJIADO,BOYS,DAY,C4,REGULAR
MATILIKU BOYS SEC,MAKUENI,BOYS,BOARDING,C1,REGULAR
RCEA LOKORI,TURKANA,BOYS,BOARDING,C2,REGULAR
KUIKUI MIXED DAY SEC,BARINGO,MIXED,DAY,C4,REGULAR
IKENYE,KISII,MIXED,DAY,C4,REGULAR
ST. ELIZABETH OKATEKOK,BUSIA,MIXED,DAY,C4,REGULAR
KIRITI SEC,NYERI,MIXED,DAY,C4,REGULAR
RAMADA,KILIFI,MIXED,DAY,C4,REGULAR
MTAA SEC,KWALE,MIXED,DAY,C4,REGULAR
MUTONYA MIXED DAY SEC,KITUI,MIXED,DAY,C4,REGULAR
MAETA MIXED,MIGORI,MIXED,DAY,C4,REGULAR
KATANYU SECONDARY SCHOOL,BUSIA,MIXED,DAY,C4,REGULAR
ST DANIEL COMBONI,TURKANA,GIRLS,BOARDING,PR,REGULAR
OLOLULUNGA,NAROK,BOYS,BOARDING,C2,REGULAR
MAKAWANI SEC,THARAKA NITHI,MIXED,BOARDING,C3,REGULAR
KAPSABET GIRLS,NANDI,GIRLS,BOARDING,C1,REGULAR
KOIBEIYON SECONDARY SCHOOL,BOMET,MIXED,BOARDING,C3,REGULAR
ST AUGUSTINE GIRLS LUKHUNA SEC,BUNGOMA,GIRLS,BOARDING,C2,REGULAR
KAPOROCH GIRLS,WEST POKOT,GIRLS,DAY,C4,REGULAR
MALINDI HIGH SCHOOL,KILIFI,BOYS,BOARDING,C1,REGULAR
NKARETA SEC,NAROK,MIXED,BOARDING,C3,REGULAR
