S/No.,REGION,COUNTY,SUB COUNTY,UIC,KNEC,SCHOOL NAME,CLUSTER,TYPE,(Regular/ SNE/INTEGRATED,DISABILITY TYPE,ACCOMODATION TYPE,GENDER
1009,WESTERN,BUSIA,TESO NORTH,3T5W,35606209,BISHOP KING'OO OKULEU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1010,WESTERN,BUSIA,TESO NORTH,GHV8,35606103,BISHOP SULUMETI CHELELEMUK GIRLS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1011,WESTERN,BUSIA,TESO NORTH,UZTC,35606105,CHAMASIRI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1012,WESTERN,BUSIA,TESO NORTH,VM4B,35606110,KAKURIKIT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1013,WESTERN,BUSIA,TESO NORTH,63M9,35606106,KATAKWA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1014,WESTERN,BUSIA,TESO NORTH,5UN5,35606207,KATANYU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1015,WESTERN,BUSIA,TESO NORTH,EYNZ,35606111,KEKALET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1016,WESTERN,BUSIA,TESO NORTH,ZHWM,35606104,MODING HIGH SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1017,WESTERN,BUSIA,TESO NORTH,2BG9,35606107,S A ABOLOI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1018,WESTERN,BUSIA,TESO NORTH,EXAV,35606120,S.A ADANYA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1019,WESTERN,BUSIA,TESO NORTH,6GLH,35606101,S.A. KOLANYA BOYS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1020,WESTERN,BUSIA,TESO NORTH,VHTB,35600008,S.A. KOLANYA GIRLS SECONDARY SCHOOL,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1021,WESTERN,BUSIA,TESO NORTH,FZYW,35606232,ST ANTHONY KOLAIT MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1022,WESTERN,BUSIA,TESO NORTH,HNGN,35606206,ST JOHN'S KAJEI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1023,WESTERN,BUSIA,TESO NORTH,7UGC,35606202,ST JOSEPHS KOCHOLIA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1024,WESTERN,BUSIA,TESO NORTH,XKZ9,35606116,ST MARTIN'S MWARI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1025,WESTERN,BUSIA,TESO NORTH,89ED,35606210,ST PAUL'S KOKARE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1026,WESTERN,BUSIA,TESO NORTH,JJ65,35606204,ST. AUGUSTINE KAMOLO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1027,WESTERN,BUSIA,TESO NORTH,47SH,35606114,ST. ELIZABETH KABUKUI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1028,WESTERN,BUSIA,TESO NORTH,AB5P,35606208,ST. JUDE ONYUNYUR SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1029,WESTERN,BUSIA,TESO NORTH,96LW,35606113,ST. PAUL'S KAKEMER SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1030,WESTERN,BUSIA,TESO NORTH,72HH,35606205,ST. STEPHEN'S KENGATUNY MIXED SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1031,WESTERN,BUSIA,TESO NORTH,VW9C,35606118,ST.ANTONY AKOBWAIT 'CHA' SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1032,WESTERN,BUSIA,TESO NORTH,SPMJ,35606211,ST.TERESA'S MALABA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1033,WESTERN,BUSIA,TESO NORTH,DJS5,35606203,ST.THOMAS AMAGORO GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1034,WESTERN,BUSIA,TESO SOUTH,2AHC,35620206,ASING'E MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1035,WESTERN,BUSIA,TESO SOUTH,6YCW,35620209,BUSIA TOWNSHIP SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1036,WESTERN,BUSIA,TESO SOUTH,T3PB,35620212,ST ANNE ANGOROM GIRLS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
1037,WESTERN,BUSIA,TESO SOUTH,5PA4,35620207,ST MARK'S AMONG'URA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1038,WESTERN,BUSIA,TESO SOUTH,AEV4,35620201,ST MONICA CHAKOL GIRLS' HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1039,WESTERN,BUSIA,TESO SOUTH,E9ZT,35620211,ST PETERS OJAAMONG SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1040,WESTERN,BUSIA,TESO SOUTH,TKXK,35620204,ST. CHARLES LWANGA OTIMONG SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1041,WESTERN,BUSIA,TESO SOUTH,WE25,35620208,ST. FRANCIS OKAME SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1042,WESTERN,BUSIA,TESO SOUTH,DVSD,35620205,ST. JOHN'S ALUPE SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1043,WESTERN,BUSIA,TESO SOUTH,LQ2S,35620202,ST. JOSEPH'S CHAKOL SECONDARY SCHOOL,C4,PUBLIC,INTERGRATED,VI,DAY,Mixed
1044,WESTERN,BUSIA,TESO SOUTH,6R58,35620210,ST. MARK'S NGELECHOM SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1045,WESTERN,BUSIA,TESO SOUTH,6M9K,35620203,ST. PETER'S ATERAIT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1046,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,YRJM,34518413,A.I.C ANIN MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1047,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,4RG5,34518402,AIC GIRLS SECONDARY SCHOOL KESSUP,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1048,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,PR3F,34518403,ANIN SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1049,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,5A7Q,34518111,BUGAR MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1050,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,3UMJ,34518108,CHEBONET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1051,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,TQ9Y,34518409,CHEGILET SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1052,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,DEJD,34518113,CHELINGWA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1053,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,32XJ,34518114,HOLY ROSARY-KAPKONGA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1054,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,WFMG,34518109,ITEN MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1055,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,KRJB,34518411,KABORE MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1056,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,GN73,34518117,KAMARINY MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1057,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,9RVT,34518112,KAPKOI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1058,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,Y65X,34518404,KAPTUM SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1059,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,2HGL,34518406,KESSUP MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1060,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,4G7W,34518408,KIBENDO SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1061,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,VKPV,34518104,KIPSOEN SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1062,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,TVQA,34518412,KOKWAO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1063,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,VFDE,34518110,KORKITONY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1064,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,P3C6,34518106,SERGOIT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
1065,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,2YBM,34518102,SING'ORE GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1066,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,RKTP,34518410,SIROCH MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1067,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,QYWY,34500010,ST PATRICK ITEN,C1,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1068,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,M48A,34518105,ST. FRANCIS KIMURON SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1069,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,3QM5,34518407,ST. GABRIEL KAPCHELAL MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1070,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,6R2G,34518115,ST. PAUL'S MUNO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1071,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,3T9R,34518116,ST. PETER'S KIBARGOIYET MIXED SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1072,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,FTVM,34518405,ST. THOMAS KABULWO SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1073,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,KRF7,34518103,ST.ALPHONSUS MUTEI GIRLS' SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1074,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,DXUN,34518107,ST.PAULS SECONDARY SCHOOL-KAPKESSUM,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1075,RIFT VALLEY,ELGEYO MARAKW,KEIYO NORTH,DAKM,34518401,TAMBACH BOYS HIGH SCHOOL,C1,PUBLIC,INTERGRATED,VI,BOARDING,BOYS
1076,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,KSXD,34559301,AIC SOY GIRLS,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1077,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,WCEN,34559209,ATNAS KAMDIE,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1078,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,K5MU,34559211,BIWOTT MIXED DAY CHALLENGE,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1079,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,GBU5,34559205,BIWOTT SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1080,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,DMGG,34559310,CHANGACH BARAK,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1081,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,M9KJ,34559213,CHEBIREI MIXED DAY SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1082,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,UVYK,34559218,CHEPSAMO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1083,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,AX32,34559304,CHEPSIGOT SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1084,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,33UJ,34559306,DANIEL ADVENTIST HIGH SCHOOL KAPTUBEI,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1085,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,RY6P,34559312,KALWAL MIXED DAY SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1086,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,UKZV,34559217,KAPCHEBELEL MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1087,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,RVWX,34559514,KAPCHEBUTUK ADVENTIST MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1088,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,PKW7,34559201,KAPKENDA GIRLS,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1089,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,MC2T,34559504,KAPKITONY GIRLS SECONDARY,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1090,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,4DBH,34559215,KAPLETINGI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1091,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,DZZE,34559516,KAPSOWEK MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1092,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,7UHA,34559216,KAPTILOL SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1093,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,74WW,34559515,KASAR SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1094,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,Z95S,34559559,KATUMOI,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1095,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,EYNK,34559510,KETIGOI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1096,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,6DTU,34559302,KIMWARER SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1097,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,HWTZ,34559507,KIMWOGO SEC SCH,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1098,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,5S6X,34559503,KIPSAOS BOYS,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1099,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,FNHB,34559210,KIPTULOS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1100,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,8SFX,34559307,KIPYATOR SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1101,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,NLEB,34559202,KITANY BOYS SEC,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1102,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,GMC2,34559505,KOCHOLWO SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1103,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,Q3H8,34559311,KOIMUR HILL MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1104,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,3RGR,34559509,KOMBATICH MIXED DAY SEC SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1105,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,XC3A,34559206,KOPTEGA SEC SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1106,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,J7B8,34559203,LELBOINET BOYS HIGH SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1107,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,KBEU,34559214,LOLGARINI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1108,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,MQUJ,34559502,METKEI GIRLS SECONDARY,C1,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1109,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,C83M,34559204,MOKWO GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1110,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,AWH5,34559308,MUSKUT MIXED DAY SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1111,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,MSM9,34559208,OUR LADY OF GLORY KAPTAGAT GIRLS HIGH SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1112,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,JRWL,34559305,ROKOCHO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1113,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,YJDW,34559501,SIMOTWO SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1114,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,BFZ5,34559303,ST AUGUSTINE SEC SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1115,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,H8DC,34559207,ST JOSEPH'S GIRLS KIPSAINA,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1116,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,L8S2,34559511,ST. GREGORY KIPKABUS DOWNS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1117,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,GGQ6,34559513,ST. PATRICK'S KABIRIRSUS MIXED DAY,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1118,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,7LPS,34559508,ST. THOMAS KAPCHORWA MIXED DAY,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1119,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,GUAB,34559512,TEBER ST. BENEDICT MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1120,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,TTQV,34559506,TUGUMOI MIXED DAY SECONDARY,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1121,RIFT VALLEY,ELGEYO MARAKW,KEIYO SOUTH,47XC,34559309,TURESIA MIXED DAY SEC,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1122,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,Z6KZ,34561303,CHESEWEW SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1123,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,9GU5,34561106,ISMAEL CHELANGA SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1124,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,AYZM,34561202,KAMASIA MIXED SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,Mixed
1125,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,M7KS,34561308,KAMOGO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1126,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,XV8H,34561302,KAPCHEBAU SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
1127,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,7UK8,34561203,KAPTICH GIRLS' SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
1128,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,FDM5,34561109,KARENA MIXED DAY,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1129,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,FQE5,34561101,KERIO VALLEY SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1130,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,NPQB,34561305,KIPKANER MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1131,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,MZF5,34561103,LITER GIRLS SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,GIRLS
1132,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,8UMR,34561403,LUKUGET HILL SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1133,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,N3GC,34561402,MOGIL SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1134,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,82PQ,34561104,QUEEN OF PEACE CHESONGOCH SECONDARY SHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1135,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,D95X,34561301,SAMBIRIR GIRLS SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1136,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,6KFH,34561205,ST JOSEPHS TENDERWA,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1137,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,PX73,34561307,ST. MARY'S KAPKUTO MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1138,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,HBAU,34561304,ST. MICHAEL'S SECONDARY SCHOOL- EMBOBUT,C4,PUBLIC,REGULAR,NONE,DAY,BOYS
1139,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,URZ5,34561204,ST. PETERS KAPCHELAGA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1140,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,R6G8,34561201,ST.AUGUSTINE KAPYEGO SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1141,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,WJEV,34561107,ST.JOHN TOROKO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1142,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,D92F,34561401,ST.MARY'S MON SCONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1143,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,G9EA,34561306,ST.PAUL SAMBIRIR BOYS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1144,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,AYCC,34561102,ST.PAUL'S KAPKONDOT GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1145,RIFT VALLEY,ELGEYO MARAKW,MARAKWET EAST,JVE4,34561105,TOT MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1146,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,7FKB,34520209,A.I.C.CHELES MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1147,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,4GFW,34520311,AIC CHEBAI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1148,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,9EZQ,34520301,CHEBAI SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1149,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,SML9,34520107,CHEBARA GIRLS SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1150,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,VGP7,34520101,CHEBARA SECONDARY SCHOOL,C2,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1151,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,GTTS,34520105,CHEBIEMIT SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,BOYS
1152,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,769R,34520304,CHEBORORWA SECONDARY SCHOOL,C3,PUBLIC,REGULAR,NONE,BOARDING,GIRLS
1153,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,ZR6A,34520110,CHEPTONGEI SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
1154,RIFT VALLEY,ELGEYO MARAKW,MARAKWET WEST,X22C,34520204,HOSSEN MIXED SECONDARY SCHOOL,C4,PUBLIC,REGULAR,NONE,DAY,Mixed
