"COMPUTER STUDIES,GEOGRAPHY,ISLAMIC RELIGIOUS EDUCATION. CODE: SS2033 | TRACK: HUMANITIES & BUSINESS STUDIES",,,,,
GALANA,KILIFI,BOYS,BOARDING,C3,REGULAR
KHALALIO SECONDARY SCHOOL,MANDERA,BOYS,BOARDING,C3,REGULAR
KASIDI,KILIFI,MIXED,DAY,C4,REGULAR
LEMA GIRLS,MACHAKOS,GIRLS,BOARDING,C3,REGULAR
KENDU MUSLIM,HOMA BAY,MIXED,DAY,C4,REGULAR
BISHOP ODERA AGONGO,MIGORI,MIXED,DAY,C4,REGULAR
ST PETER'S ITUMBU SEC,VIHIGA,MIXED,DAY,C4,REGULAR
K P SNR SEC(MTWAPA),KILIFI,MIXED,DAY,C4,REGULAR
HIGHWAY SEC,NAIROBI,BOYS,BOARDING,C2,REGULAR
PAUL HARRIS SEC,KILIFI,MIXED,DAY,C4,REGULAR
Concordia,MOMBASA,MIXED,DAY,C4,REGULAR
RCEA KUINET,UASIN GISHU,MIXED,DAY,C4,REGULAR
ASHABITO GIRLS,MANDERA,GIRLS,BOARDING,C3,REGULAR
KAJEMBE HIGH SCHOOL,MOMBASA,MIXED,DAY,C4,REGULAR
NAKURU GIRLS SEC,NAKURU,GIRLS,BOARDING,C1,REGULAR
DEDAN KIMATHI SECONDARY SCHOOL-NDARAGWA,NYANDARUA,MIXED,DAY,C4,REGULAR
TUDOR DAY SECONDARY SCHOOL,MOMBASA,BOYS,DAY,C4,REGULAR
MAKHANGA HOPE ACADEMY,BUNGOMA,MIXED,HYBRID,PR,REGULAR
BURUBURU GIRLS SECONDARY mandera,MANDERA,GIRLS,DAY,C4,REGULAR
GORO RUKESA MIXED DAY,MARSABIT,MIXED,DAY,C4,REGULAR
JOWHAR MIXED DAY & BOYS BOARDING,WAJIR,MIXED,DAY,C4,REGULAR
CHEPLANGET,KERICHO,BOYS,BOARDING,C3,REGULAR
MANDA AIRPORT,LAMU,MIXED,DAY,C4,REGULAR
Guba Mixed Secondary School,MANDERA,MIXED,DAY,C4,REGULAR
KWANDOO,MACHAKOS,MIXED,DAY,C4,REGULAR
NJORO DAY,NAKURU,MIXED,DAY,C4,REGULAR
ARBAQERANSO (MIXED SECONDARY SCHOOL -KHOROFHARAR SUB COUNTY),WAJIR,MIXED,DAY,C4,REGULAR
ST MARYS MABERA,MIGORI,GIRLS,BOARDING,C2,REGULAR
URAN SECONDARY SCHOOL,MARSABIT,MIXED,DAY,C4,REGULAR
NANYUKI BOYS,LAIKIPIA,BOYS,BOARDING,C1,REGULAR
BIMAMU SEC,KAKAMEGA,GIRLS,BOARDING,C3,REGULAR
BUSLE MIXED SECONDARY SCHOOL,MANDERA,MIXED,DAY,C4,REGULAR
ABRAR HIGH SCHOOL,UASIN GISHU,BOYS,BOARDING,PR,REGULAR
RHAMU DIMTU SEC,MANDERA,BOYS,BOARDING,C3,REGULAR
KAPCHOLYO SEC,BOMET,MIXED,DAY,C4,REGULAR
KENYA MUSLIM ACADEMY,NAIROBI,MIXED,HYBRID,PR,REGULAR
KHADIJA GIRLS DAY SECONDARY,MANDERA,GIRLS,DAY,C4,REGULAR
MWAMZANDI,KWALE,GIRLS,BOARDING,C3,REGULAR
HANIF,Nairobi,MIXED,DAY,PR,REGULAR
MRIMA,MOMBASA,MIXED,DAY,C4,REGULAR
WABERI GIRLS DAY SEC_SCHOOL ( WAJIR WAJIR EAST),WAJIR,GIRLS,DAY,C4,REGULAR
MOGOR,BOMET,GIRLS,BOARDING,C3,REGULAR
SHANGIA,KILIFI,MIXED,DAY,C4,REGULAR
MSUMARINI,KILIFI,MIXED,DAY,C4,REGULAR
DELA SECONDARY SCHOOL BOYS BOARDING,WAJIR,MIXED,DAY,C4,REGULAR
MASYUNGWA SEC,KITUI,MIXED,DAY,C4,REGULAR
CANON KITURI,TAITA TAVETA,MIXED,BOARDING,C2,REGULAR
NG'OMBENI,KWALE,MIXED,DAY,C4,REGULAR
HOSPITAL HILL,NAIROBI,BOYS,BOARDING,C2,REGULAR
NZOVUNI SEC,KWALE,MIXED,DAY,C4,REGULAR
